customer_id,first_name,last_name,email,active,address,district,postal_code,city,country,create_date,last_update
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,1913 Hanoi Way,Nagasaki,35200,Sasebo,Japan,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,1121 Loja Avenue,California,17886,San Bernardino,United States,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,692 Joliet Street,Attika,83579,Athenai,Greece,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1,1566 Inegöl Manor,Mandalay,53561,Myingyan,Myanmar,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,1,53 Idfu Parkway,Nantou,42399,Nantou,Taiwan,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
6,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,1,1795 Santiago de Compostela Way,Texas,18743,Laredo,United States,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
7,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,1,900 Santiago de Compostela Parkway,Central Serbia,93896,Kragujevac,Yugoslavia,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
8,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,1,478 Joliet Way,Hamilton,77948,Hamilton,New Zealand,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
9,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,1,613 Korolev Drive,Masqat,45844,Masqat,Oman,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,1,1531 Salé Drive,Esfahan,53628,Esfahan,Iran,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
11,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,1,1542 Tarlac Parkway,Kanagawa,1027,Sagamihara,Japan,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
12,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,1,808 Bhopal Manor,Haryana,10672,Yamuna Nagar,India,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
13,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,1,270 Amroha Parkway,Osmaniye,29610,Osmaniye,Turkey,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
14,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,1,770 Bydgoszcz Avenue,California,16266,Citrus Heights,United States,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
15,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,1,419 Iligan Lane,Madhya Pradesh,72878,Bhopal,India,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
16,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,0,360 Toulouse Parkway,England,54308,Southend-on-Sea,United Kingdom,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
17,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,1,270 Toulon Boulevard,Kalmykia,81766,Elista,Russian Federation,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,1,320 Brest Avenue,Kaduna,43331,Kaduna,Nigeria,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,1,1417 Lancaster Avenue,Northern Cape,72192,Kimberley,South Africa,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,1,1688 Okara Way,Nothwest Border Prov,21954,Mardan,Pakistan,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,1,262 A Coruña (La Coruña) Parkway,Dhaka,34418,Tangail,Bangladesh,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,1,28 Charlotte Amalie Street,Rabat-Sal-Zammour-Z,37551,Salé,Morocco,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
23,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,1,1780 Hino Boulevard,Liepaja,7716,Liepaja,Latvia,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
24,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,1,96 Tafuna Way,Córdoba,99865,Córdoba,Argentina,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
25,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,1,934 San Felipe de Puerto Plata Street,Sind,99780,Shikarpur,Pakistan,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,1,18 Duisburg Boulevard,"",58327,Città del Vaticano,Holy See (Vatican City State),2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,1,217 Botshabelo Place,Southern Mindanao,49521,Davao,Philippines,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,1,1425 Shikarpur Manor,Bihar,65599,Munger (Monghyr),India,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,1,786 Aurora Avenue,Yamaguchi,65750,Shimonoseki,Japan,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
30,MELISSA,KING,MELISSA.KING@sakilacustomer.org,1,1668 Anápolis Street,Taipei,50199,Lungtan,Taiwan,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
31,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,1,33 Gorontalo Way,West Bengali,30348,Kamarhati,India,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
32,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,1,176 Mandaluyong Place,Uttar Pradesh,65213,Jhansi,India,2006-02-14T22:04:36.000Z,2006-02-15T04:57:20.000Z
